Player,From,To,Pos,Ht,Wt,Birth Date,College
Corie Blount\blounco01,1994,2004,F,205,240,January 4 1969,University of Cincinnati
Mark Blount\blounma01,2001,2009,C,213,230,November 30 1975,University of Pittsburgh
Vander Blue\blueva01,2014,2015,G,193,200,July 17 1992,Marquette University
Ray Blume\blumera01,1982,1982,G,193,185,September 23 1958,Oregon State University
Nelson Bobb\bobbne01,1950,1953,G,182,170,February 25 1924,Temple University
Tony Bobbitt\bobbito01,2005,2005,G,193,190,October 22 1979,University of Cincinnati
Bucky Bockhorn\bockhbu01,1959,1965,G,193,200,July 8 1933,University of Dayton
Tom Boerwinkle\boerwto01,1969,1978,C,213,265,August 23 1945,University of Tennessee
Keith Bogans\boganke01,2004,2014,G-F,195,215,May 12 1980,University of Kentucky
Bojan Bogdanovic\bogdabo02,2015,2017,G-F,203,216,April 18 1989,
Muggsy Bogues\boguemu01,1988,2001,G,160,136,January 9 1965,Wake Forest University
Andrew Bogut\bogutan01,2006,2017,C,213,260,November 28 1984,University of Utah
Etdrick Bohannon\bohanet01,1998,2001,F,205,220,May 29 1973,Auburn University at Montgomery
Manute Bol\bolma01,1986,1995,C,231,200,October 16 1962,University of Bridgeport
Bill Bolger\bolgebi01,1954,1954,F,195,205,August 21 1931,Georgetown University
Joel Bolomboy\bolomjo01,2017,2017,F,205,235,January 28 1994,Weber State University
Doug Bolstorff\bolstdo01,1958,1958,G,193,195,October 29 1931,University of Minnesota
George Bon Salle\bonsage01,1962,1962,F,203,220,July 1 1935,University of Illinois at Urbana-Champaign
Phil Bond\bondph01,1978,1978,G,187,175,July 27 1954,University of Louisville
Walter Bond\bondwa01,1993,1995,G,195,200,February 1 1969,University of Minnesota
Dexter Boney\boneyde01,1997,1997,G,193,185,April 27 1970,University of Nevada Las Vegas
Ron Bonham\bonharo01,1965,1968,F,195,192,May 31 1942,University of Cincinnati
Anthony Bonner\bonnean01,1991,1996,F,203,215,June 8 1968,Saint Louis University
Matt Bonner\bonnema01,2005,2016,F,208,235,April 5 1980,University of Florida
Butch Booker\bookebu01,1970,1970,C,208,230,July 20 1945,Cheyney University of Pennsylvania
Devin Booker\bookede01,2016,2017,G,198,206,October 30 1996,University of Kentucky
Melvin Booker\bookeme01,1996,1997,G,185,185,August 20 1972,University of Missouri
Trevor Booker\booketr01,2011,2017,F,203,228,November 25 1987,Clemson University
Josh Boone\boonejo01,2007,2010,F-C,208,237,November 21 1984,University of Connecticut
Ron Boone\boonero01,1969,1981,G-F,187,200,September 6 1946,Idaho State University
Calvin Booth\boothca01,2000,2009,C,210,230,May 7 1976,Pennsylvania State University
Keith Booth\boothke01,1998,1999,F,198,226,October 9 1974,University of Maryland
Bob Boozer\boozebo01,1961,1971,F,203,215,April 26 1937,Kansas State University
Carlos Boozer\boozeca01,2003,2015,F-C,205,258,November 20 1981,Duke University
Curtis Borchardt\borchcu01,2004,2005,C,213,240,September 13 1980,Stanford University
Jake Bornheimer\bornhja01,1949,1950,F-C,195,200,June 29 1927,Muhlenberg College
Lazaro Borrell\borrela01,2000,2000,F,203,220,September 20 1972,
Ike Borsavage\borsaik01,1951,1951,C-F,203,220,July 25 1924,Temple University
Vince Boryla\borylvi01,1950,1954,F,195,210,March 11 1927,University of Denver
Chris Bosh\boshch01,2004,2016,F-C,210,235,March 24 1984,Georgia Institute of Technology
Jim Bostic\bostiji01,1978,1978,F,200,225,January 28 1953,New Mexico State University
Lawrence Boston\bostola01,1980,1980,F,203,225,May 18 1956,University of Maryland
Tom Boswell\bosweto01,1976,1984,F-C,205,220,October 2 1953,University of South Carolina
Ruben Boumtje-Boumtje\boumtru01,2002,2004,C,213,257,May 20 1978,Georgetown University
Don Boven\bovendo01,1950,1953,F-G,193,210,March 6 1925,Western Michigan University
Cal Bowdler\bowdlca01,2000,2002,F,208,245,March 31 1977,Old Dominion University
Bruce Bowen\bowenbr01,1997,2009,F,200,185,June 14 1971,California State University Fullerton
Ryan Bowen\bowenry01,2000,2010,F,200,215,November 20 1975,University of Iowa
Tommie Bowens\bowento01,1968,1970,F-C,203,220,July 7 1940,Grambling State University
Anthony Bowie\bowiean01,1989,1998,G-F,198,190,November 9 1963,University of Oklahoma
Sam Bowie\bowiesa01,1985,1995,C-F,215,235,March 17 1961,University of Kentucky
Orbie Bowling\bowlior01,1968,1968,C,208,215,March 21 1939,University of Tennessee
Ira Bowman\bowmair01,2000,2002,G,195,195,June 11 1973,University of Pennsylvania
Nate Bowman\bowmana01,1967,1972,C,208,230,March 19 1943,Wichita State University
Donnie Boyce\boycedo01,1996,1997,G,195,196,September 2 1973,University of Colorado
Dennis Boyd\boydde01,1979,1979,G,185,175,May 21 1954,University of Detroit Mercy
Freddie Boyd\boydfr01,1973,1978,G,187,180,June 13 1950,Oregon State University
Ken Boyd\boydke01,1975,1975,F,195,195,March 25 1952,Boston University
Earl Boykins\boykiea01,1999,2012,G,165,135,June 2 1976,Eastern Michigan University
Harry Boykoff\boykoha01,1950,1951,C,208,225,July 24 1922,St. John's University
Winford Boynes\boynewi01,1979,1981,G-F,198,185,May 17 1957,University of San Francisco
Cedric Bozeman\bozemce01,2007,2007,G,198,207,March 7 1983,University of California Los Angeles
Steve Bracey\bracest01,1973,1975,G,185,175,August 1 1950,University of Tulsa
Craig Brackins\brackcr01,2011,2012,F,208,230,October 9 1987,Iowa State University
Gary Bradds\braddga01,1965,1971,F,203,210,July 26 1942,Ohio State University
Alex Bradley\bradlal02,1982,1982,F,198,215,October 30 1959,Villanova University
Alonzo Bradley\bradlal01,1978,1980,F,198,190,October 16 1953,Texas Southern University
Avery Bradley\bradlav01,2011,2017,G,187,180,November 26 1990,University of Texas at Austin
Bill Bradley\bradlbi02,1968,1968,G,180,165,June 16 1941,
Bill Bradley*\bradlbi01,1968,1977,F-G,195,205,July 28 1943,Princeton University
Charles Bradley\bradlch01,1982,1984,G,195,215,May 16 1959,University of Wyoming
Dudley Bradley\bradldu01,1980,1989,G-F,198,195,March 19 1957,University of North Carolina
Jim Bradley\bradlji01,1974,1976,F,203,215,March 16 1952,Northern Illinois University
Joe Bradley\bradljo01,1950,1950,G,190,175,September 24 1928,Oklahoma State University
Michael Bradley\bradlmi01,2002,2006,F-C,208,245,April 18 1979,Villanova University
Shawn Bradley\bradlsh01,1994,2005,C,228,235,March 22 1972,Brigham Young University
Mark Bradtke\bradtma01,1997,1997,C-F,208,265,September 27 1968,
Marques Bragg\braggma01,1996,1996,F,203,230,March 24 1970,Providence College
Torraye Braggs\braggto01,2004,2005,F,203,245,May 15 1976,Xavier University
A.J. Bramlett\bramlaj01,2000,2000,C,208,227,January 10 1977,University of Arizona
Adrian Branch\brancad01,1987,1990,F-G,200,185,November 17 1963,University of Maryland
Elton Brand\brandel01,2000,2016,F,203,275,March 11 1979,Duke University
Terrell Brandon\brandte01,1992,2002,G,180,180,May 20 1970,University of Oregon
Bob Brannum\brannbo01,1950,1955,F-C,195,215,May 28 1925,Michigan State University
Brad Branson\bransbr01,1982,1983,C-F,208,220,September 24 1958,Southern Methodist University
Jesse Branson\bransje01,1966,1968,F,200,195,January 7 1942,Elon University
Jim Brasco\brascji01,1953,1953,G,185,170,February 3 1931,New York University
Mike Bratz\bratzmi01,1978,1986,G,187,185,October 17 1955,Stanford University
Carl Braun\braunca01,1948,1962,G-F,195,180,September 25 1927,Colgate University
Tim Breaux\breauti01,1995,1998,F,200,215,September 19 1970,University of Wyoming
J.R. Bremer\bremejr01,2003,2004,G,187,185,September 19 1980,St. Bonaventure University
Pete Brennan\brennpe01,1959,1959,F,198,205,September 23 1936,University of North Carolina
Tom Brennan\brennto01,1955,1955,F,190,195,August 6 1930,Villanova University
Randy Breuer\breuera01,1984,1994,C,220,230,October 11 1960,University of Minnesota
Corey Brewer\breweco01,2008,2017,F-G,205,186,March 5 1986,University of Florida
Jamison Brewer\breweja01,2002,2005,G,193,184,November 19 1980,Auburn University
Jim Brewer\breweji01,1974,1982,F-C,205,210,December 3 1951,University of Minnesota
Ron Brewer\brewero01,1979,1986,G,193,180,September 16 1955,University of Arkansas
Ronnie Brewer\brewero02,2007,2014,G-F,200,220,March 20 1985,University of Arkansas
Primoz Brezec\brezepr01,2002,2010,C,218,252,October 2 1979,
Frankie Brian\brianfr01,1950,1956,G,185,180,May 1 1923,Louisiana State University
Frank Brickowski\brickfr01,1985,1997,F-C,205,240,August 14 1959,Pennsylvania State University
Junior Bridgeman\bridgju01,1976,1987,F-G,195,210,September 17 1953,University of Louisville
Bill Bridges\bridgbi01,1963,1975,F-C,198,228,April 4 1939,University of Kansas
Al Brightman\brighal01,1947,1947,F,187,195,September 22 1923,University of Charleston
Aud Brindley\brindau01,1947,1947,F,193,175,December 31 1923,Dartmouth College
John Brisker\briskjo01,1970,1975,F-G,195,210,June 15 1947,University of Toledo
Allan Bristow\bristal01,1974,1983,F-G,200,210,August 23 1951,Virginia Polytechnic Institute and State University
Tyrone Britt\brittty01,1968,1968,G,193,190,April 18 1944,Johnson C. Smith University
Wayman Britt\brittwa01,1978,1978,G,187,185,August 31 1952,University of Michigan
Mike Brittain\brittmi01,1986,1987,C,213,235,June 21 1963,University of South Carolina
Dave Britton\brittda01,1981,1981,G,193,180,August 29 1958,Texas A&M University
Jon Brockman\brockjo01,2010,2012,F,200,255,March 20 1987,University of Washington
Jim Brogan\brogaji01,1982,1983,G,193,185,February 24 1958,West Virginia Wesleyan College
Malcolm Brogdon\brogdma01,2017,2017,G,195,215,December 11 1992,University of Virginia
Gary Brokaw\brokaga01,1975,1978,G,193,178,January 11 1954,University of Notre Dame
Price Brookfield\brookpr01,1949,1950,F-G,193,185,May 11 1920,West Texas A&M University
Clarence Brookins\brookcl01,1971,1971,F,193,190,,Temple University
Aaron Brooks\brookaa01,2008,2017,G,182,161,January 14 1985,University of Oregon
Kevin Brooks\brookke01,1992,1994,F,198,200,October 12 1969,University of Louisiana at Lafayette
MarShon Brooks\brookma01,2012,2014,G-F,195,200,January 26 1989,Providence College
Michael Brooks\brookmi01,1981,1988,F,200,220,August 17 1958,La Salle University
Scott Brooks\brooksc01,1989,1998,G,180,165,July 31 1965,University of California Irvine
Andre Brown\brownan01,2007,2009,F,205,245,May 12 1981,DePaul University
Anthony Brown\brownan02,2016,2017,F-G,200,210,October 10 1992,Stanford University
Bob Brown\brownbo01,1949,1950,F,193,205,November 12 1923,Miami University
Bobby Brown\brownbo02,2009,2017,G,187,175,September 24 1984,California State University Fullerton
Chucky Brown\brownch01,1990,2002,F,200,214,February 29 1968,North Carolina State University
Damone Brown\brownda02,2002,2005,F,205,200,June 28 1979,Syracuse University
Darrell Brown\brownda01,1949,1949,F,187,175,March 14 1923,Humboldt State University
Dee Brown\brownde01,1991,2002,G,185,160,November 29 1968,Jacksonville University
Dee Brown\brownde03,2007,2009,G,182,185,August 17 1984,University of Illinois at Urbana-Champaign
Derrick Brown\brownde04,2010,2012,F,200,225,September 8 1987,Xavier University
Devin Brown\brownde02,2003,2010,G,195,220,December 30 1978,University of Texas at San Antonio
Ernest Brown\browner01,2002,2002,C,213,244,May 17 1979,Indian Hills Community College
Fred Brown\brownfr01,1972,1984,G,190,182,August 7 1948,University of Iowa
George Brown\brownge01,1958,1958,F,198,190,October 30 1935,Wayne State University
Gerald Brown\brownge02,1999,1999,G,193,210,July 28 1975,Pepperdine University
Harold Brown\brownha01,1947,1947,G,182,155,October 2 1923,University of Evansville
Jabari Brown\brownja01,2015,2015,G,193,215,December 18 1992,University of Missouri
Jaylen Brown\brownja02,2017,2017,F,200,225,October 24 1996,University of California
John Brown\brownjo01,1974,1980,F,200,220,December 14 1951,University of Missouri
Kedrick Brown\brownke01,2002,2005,G,200,222,March 18 1981,Okaloosa-Walton Community College
Kwame Brown\brownkw01,2002,2013,F,210,270,March 10 1982,
Larry Brown*\brownla01,1968,1972,G,175,160,September 14 1940,University of North Carolina
Leon Brown\brownle01,1947,1947,F,190,190,October 12 1919,University of Wyoming
Lewis Brown\brownle02,1981,1981,C,210,225,February 19 1955,University of Nevada Las Vegas
Lorenzo Brown\brownlo01,2014,2016,G,195,189,August 26 1990,North Carolina State University
Marcus Brown\brownma01,1997,2000,G,190,185,April 3 1974,Murray State University
Markel Brown\brownma02,2015,2016,G,190,190,January 29 1992,Oklahoma State University
Mike Brown\brownmi01,1987,1997,C-F,205,257,July 19 1963,George Washington University
Myron Brown\brownmy01,1992,1992,G,190,180,November 3 1969,Slippery Rock University of Pennsylvania
P.J. Brown\brownpj01,1994,2008,F-C,210,225,October 14 1969,Louisiana Tech University
Randy Brown\brownra02,1992,2003,G,187,190,May 22 1968,New Mexico State University
Raymond Brown\brownra01,1990,1990,F,203,220,July 5 1965,University of Idaho
Rickey Brown\brownri01,1981,1985,C-F,208,215,August 20 1958,Mississippi State University
Roger Brown*\brownro01,1968,1975,F-G,195,205,May 22 1942,University of Dayton
Roger Brown\brownro02,1973,1980,C,210,225,February 23 1950,University of Kansas
Shannon Brown\brownsh01,2007,2015,G,193,205,November 29 1985,Michigan State University
Stan Brown\brownst01,1948,1952,F,190,200,June 27 1929,
Tierre Brown\brownti01,2002,2005,G,187,189,June 3 1979,McNeese State University
Tony Brown\brownto01,1985,1992,F-G,198,185,July 29 1960,University of Arkansas
Jim Browne\brownji01,1949,1950,C,208,235,January 1 1930,
Stanley Brundy\brundst01,1990,1990,F,198,210,November 13 1967,DePaul University
Brian Brunkhorst\brunkbr01,1969,1969,F,198,208,June 12 1945,Marquette University
George Bruns\brunsge01,1973,1973,G,182,160,August 30 1946,Manhattan College
Rick Brunson\brunsri01,1998,2006,G,193,190,June 14 1972,Temple University
Nicolas Brussino\brussni01,2017,2017,G-F,200,195,March 2 1993,
Em Bryant\bryanem01,1965,1972,G,185,175,November 4 1938,DePaul University
Joe Bryant\bryanjo01,1976,1983,F-C,205,185,October 19 1954,La Salle University
Kobe Bryant\bryanko01,1997,2016,G-F,198,212,August 23 1978,
Mark Bryant\bryanma01,1989,2003,F-C,205,245,April 25 1965,Seton Hall University
Wallace Bryant\bryanwa01,1984,1986,C,213,245,July 14 1959,University of San Francisco
Torgeir Bryn\brynto01,1990,1990,C,205,250,August 8 1964,Texas State University
George Bucci\buccige01,1976,1976,G,190,200,July 9 1953,Manhattan College
Joe Buckhalter\buckhjo01,1962,1963,F,200,210,August 1 1937,Tennessee State University
Steve Bucknall\bucknst01,1990,1990,G,198,215,March 17 1966,University of North Carolina
Cleveland Buckner\buckncl01,1962,1963,F-C,205,210,August 17 1938,Jackson State University
Greg Buckner\buckngr01,2000,2009,G,193,210,September 16 1976,Clemson University
Quinn Buckner\bucknqu01,1977,1986,G,190,190,August 20 1954,Indiana University
Dave Budd\buddda01,1961,1965,F,198,205,October 28 1938,Wake Forest University
Chase Budinger\budinch01,2010,2016,F,200,209,May 22 1988,University of Arizona
Walt Budko\budkowa01,1949,1952,F-C,195,220,July 30 1925,Columbia University
Jud Buechler\buechju01,1991,2002,F-G,198,220,June 19 1968,University of Arizona
Rodney Buford\buforro01,2000,2005,G-F,195,189,November 2 1977,Creighton University
Matt Bullard\bullama01,1991,2002,F,208,215,June 5 1967,University of Iowa
Reggie Bullock\bullore01,2014,2017,G-F,200,205,March 16 1991,University of North Carolina
Larry Bunce\buncela01,1968,1969,C,213,240,July 29 1945,Utah State University
Greg Bunch\bunchgr01,1979,1979,F,198,190,May 15 1956,California State University Fullerton
Dick Bunt\buntdi01,1953,1953,G,182,170,July 13 1930,New York University
Bill Buntin\buntibi01,1966,1966,C-F,200,250,May 5 1942,University of Michigan
Bill Bunting\buntibi02,1970,1972,F-C,203,200,August 26 1947,University of North Carolina
Ticky Burden\burdeti01,1976,1978,G,187,185,February 28 1953,University of Utah
Pat Burke\burkepa01,2003,2007,C-F,210,250,December 14 1973,Auburn University
Trey Burke\burketr01,2014,2017,G,185,191,November 12 1992,University of Michigan
Roger Burkman\burkmro01,1982,1982,G,195,175,May 22 1958,University of Louisville
Alec Burks\burksal01,2012,2017,G,198,214,July 20 1991,University of Colorado
Antonio Burks\burksan01,2005,2006,G,185,200,February 25 1980,University of Memphis
Kevin Burleson\burleke01,2006,2006,G,190,205,April 9 1979,University of Minnesota
Tom Burleson\burleto01,1975,1981,C,218,225,February 24 1952,North Carolina State University
Jack Burmaster\burmaja01,1950,1950,G,190,190,December 23 1926,University of Illinois at Urbana-Champaign
